id,routine,thread,avgPercent,avgTime,minTime,maxTime,stddev,avgTimeTotal,minTimeTotal,maxTimeTotal,numCalls,cumulative,imbalance
349,O3CHEM,6,0.3686616161616172,1.6692449494949493,1.574,1.7690000000000001,0.03483281007860442,1.6748308080808083,1.58,1.775,3969240,347.963,11.023176936122105
357,RADACA,6,0.36500000000000155,1.6513585858585846,1.58,1.724,0.02289586114873118,1.6926237373737378,1.619,1.768,1023000,349.584,8.35266821345707
368,COVER,6,0.3252777777777778,1.471914141414142,1.156,1.758,0.11537311053688885,1.4865101010101005,1.17,1.7730000000000001,15876960,359.119,34.243458475540386
369,LTDIR_MOD,6,0.3222727272727269,1.4577348484848482,1.27,1.6340000000000001,0.08483286858662283,2.489113636363638,2.303,2.668,247200,353.957,22.276621787025707
376,radiation_adding_ica_sw:adding_ica_sw,6,0.33363636363636323,1.5102803030303031,1.0759999999999998,1.8940000000000001,0.17152888000082767,1.513295454545454,1.079,1.8969999999999998,1893712,361.70599999999996,43.18901795142557
383,SURFEXCDRIVER_CTL_MOD:SURFEXCDRIVER_CTL,6,0.3130808080808074,1.4166515151515144,1.3119999999999998,1.4969999999999999,0.031884677844425655,6.8609722222222285,5.949,7.525,7938480,356.754,12.358049432197733
392,IO_SERV_FLUSH,1,0.27999999999999997,1.255045454545455,1.248,1.2690000000000001,0.004524911620664601,1.255045454545455,1.248,1.2690000000000001,66,359.119,1.6548463356974095
393,LAVENT,6,0.279217171717172,1.264550505050505,1.161,1.445,0.05582726501210329,1.2690227272727275,1.165,1.4509999999999998,3969240,359.70099999999996,19.653979238754328
395,CPG_GP_HYD,6,0.27386363636363664,1.2402373737373726,1.153,1.3969999999999998,0.047774090930383255,15.988547979797982,15.007,16.989,3969240,360.87699999999995,17.46599856836076
402,GPCTY,6,0.24464646464646433,1.1081287878787889,0.9620000000000001,1.227,0.04843030832130505,3.4418686868686854,3.0180000000000002,3.772,4214760,372.66900000000004,21.597392013039933
407,LATTEX_DNT,6,0.29141414141414135,1.3194671717171715,1.129,1.5930000000000002,0.09440063523215148,1.3336590909090913,1.141,1.609,11907720,360.13199999999995,29.127432517263035
414,CUDUDV,6,0.24404040404040375,1.1039217171717164,0.88,1.35,0.06903432595514944,1.3047979797979814,1.065,1.575,3969240,372.381,34.814814814814824
419,>OMP-GP_MODEL INIT        (1228),6,0.22406565656565697,1.0139772727272716,0.445,1.412,0.24238501016574746,1.0141994949494941,0.445,1.412,76824,411.36300000000006,68.48441926345609
425,SIGAM,6,0.20964646464646514,0.9496287878787875,0.872,1.168,0.06766474376591393,3.192219696969694,3.0039999999999996,3.7560000000000002,7944882,381.714,25.342465753424655
426,EC_PHYS,6,0.2348484848484845,1.0622626262626262,0.889,1.255,0.0700031949880026,180.44893939393938,166.717,188.24200000000002,3969240,373.32800000000003,29.16334661354581
430,>OMP-SLCOMM2a    2        (1121),6,0.2084848484848484,0.9431818181818179,0.342,1.2919999999999998,0.20599048097148343,0.9433257575757571,0.342,1.2919999999999998,38412,414.325,73.52941176470587
437,>MPL-SLCOMM2_COMMS PART1  ( 501),1,0.24500000000000002,1.108742424242424,0.162,2.721,0.6518205111745707,1.108742424242424,0.162,2.721,1056,434.81300000000005,94.04630650496142
438,POS,6,0.2282828282828281,1.0335252525252516,0.945,1.081,0.01945034232068332,2.2276641414141434,2.176,2.258,245520,370.811,12.580943570767808
444,MPBCASTGRID,1,0.226666666666667,1.0329848484848483,0.594,1.06,0.06459304378461586,1.0329848484848483,0.594,1.06,66,395.975,43.962264150943405
450,GWSETUP,6,0.2699999999999998,1.2216919191919204,0.94,2.291,0.2919980250242791,1.2261994949494954,0.9440000000000001,2.295,3969240,373.782,58.96988214753382
451,>OMP-PHYSICS              (1001),6,0.20222222222222233,0.9143257575757572,0.679,1.1520000000000001,0.07951184892629393,163.12242171717156,150.69799999999998,170.081,34848,391.839,41.05902777777778
452,SURFSEB_CTL_MOD:SURFSEB_CTL,6,0.21790404040403955,0.9857424242424243,0.912,1.055,0.02189478449385198,1.0013762626262623,0.9279999999999999,1.072,15958800,373.726,13.554502369668239
453,>OMP-CPG                  (1025),6,0.1634848484848483,0.7389166666666664,0.511,1.035,0.11313265709451817,69.27067929292917,67.223,70.39699999999999,38412,405.202,50.628019323671495
457,VDFTOFDC,6,0.2216161616161611,1.0021843434343432,0.955,1.16,0.028574377427874338,1.0095151515151513,0.9620000000000001,1.168,7938480,373.154,17.672413793103445
458,LOCAL_STATE_INI,6,0.20772727272727246,0.9406919191919185,0.8390000000000001,1.082,0.04249540300205866,0.9456262626262619,0.8440000000000001,1.088,3969240,378.54400000000004,22.458410351201476
472,>OMP-SLCOMM1     1        (1119),6,0.19618686868686916,0.8872171717171734,0.491,1.209,0.159618654117745,0.8873686868686882,0.491,1.209,38412,407.191,59.38792390405294
482,IO_SERV_SYNC::exit,1,0.21272727272727304,0.9711666666666664,0.968,0.976,0.0017766289022781998,0.9711666666666664,0.968,0.976,66,372.825,0.8196721311475417
485,GPGRGEO,6,0.20449494949494953,0.9251237373737362,0.8109999999999999,1.07,0.04418863296382753,3.548373737373738,3.307,3.991,4214760,384.273,24.205607476635524
498,LEINV_DGEMM_2,6,0.178838383838384,0.8094494949494951,0.691,0.94,0.055625192132201025,0.8100782828282825,0.691,0.941,236000,391.306,26.489361702127663
501,LASCAW_VINTW,6,0.20166666666666738,0.9134671717171713,0.8270000000000001,0.992,0.023526261826411512,0.9168308080808073,0.83,0.995,3969240,382.48699999999997,16.633064516129025
505,CPG_DIA,6,0.19308080808080846,0.8739040404040405,0.743,0.9420000000000001,0.03466637934730893,17.973421717171718,16.819000000000003,19.197,3969240,385.926,21.125265392781323
509,CUENTR,6,0.19184343434343432,0.8657601010101011,0.7829999999999999,0.986,0.03436240990045641,1.1082550505050512,1.022,1.2309999999999999,531878160,384.88300000000004,20.588235294117656
512,RADHEATN,6,0.19055555555555506,0.8630505050505047,0.79,0.9670000000000001,0.030442932288571593,0.867954545454545,0.795,0.972,3969240,384.944,18.30403309203723
527,VERINT,6,0.17101010101010136,0.7721818181818183,0.7170000000000001,0.884,0.03668659290482461,11.16661111111112,10.776,11.864,44779746,391.15,18.891402714932116
